Sample ID	Sex	Verbose Population ID	Simple Population ID	Region	Country	Town or more precise location	Latitude	Longitude	In analysis dataset (1=yes, 0=no)	Release conditions (1=fully public, 0=signed letter)	Contributor for unpublished samples (*indicates a contributor who wished to be acknowledged rather than being listed as an author)											
Cree5	M	Cree	Cree	America	Canada	Saskatchewan	50.3	-102.5	1	0	Damian Labuda*											
Cree6	F	Cree	Cree	America	Canada	Saskatchewan	50.3	-102.5	1	0	Damian Labuda*											
Cree7	M	Cree	Cree	America	Canada	Saskatchewan	50.3	-102.5	1	0	Damian Labuda*											
Cree8	F	Cree	Cree	America	Canada	Saskatchewan	50.3	-102.5	1	0	Damian Labuda*											
Cree9	M	Cree	Cree	America	Canada	Saskatchewan	50.3	-102.5	1	0	Damian Labuda*											
Oj1111	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1112	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1123	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1124	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1131	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1131_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj1136	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1136_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj1143	M	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1250	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1260	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1262	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1273	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj1285	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
oj956	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj956_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj958	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj958_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
oj960	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj960_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj967	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj968	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj968_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj970	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj970_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
Oj983	M	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj985	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	1	0	David E. C. Cole / Damian Labuda*											
Oj985_new	F	Ojibwa	Ojibwa	America	Canada	Ontario	46.5	-81	0	0	David E. C. Cole / Damian Labuda*											
CHIA_022	F	Chilote	Chilote	America	Chile	?	-42.5	-73.9	1	0	Andres Ruiz-Linares / Francisco Rothhammer											
DETIF_022	F	Chilote	Chilote	America	Chile	?	-42.5	-73.9	1	0	Andres Ruiz-Linares / Francisco Rothhammer											
DETIF_026	F	Chilote	Chilote	America	Chile	?	-42.5	-73.9	1	0	Andres Ruiz-Linares / Francisco Rothhammer											
DETIF_027	F	Chilote	Chilote	America	Chile	?	-42.5	-73.9	1	0	Andres Ruiz-Linares / Francisco Rothhammer											
ing17	U	Inga	Inga	America	Colombia	?	1	-77	1	0	Andres Ruiz-Linares / Gabriel Bedoya											
ing28	M	Inga	Inga	America	Colombia	?	1	-77	1	0	Andres Ruiz-Linares / Gabriel Bedoya											
HGDP00702	F	Piapoco	Piapoco	America	Colombia	?	3	-68	1	1	Patterson et al. 2012											
HGDP00703	M	Piapoco	Piapoco	America	Colombia	?	3	-68	0	1	Patterson et al. 2012											
HGDP00704	F	Piapoco	Piapoco	America	Colombia	?	3	-68	1	1	Patterson et al. 2012											
HGDP00706	F	Piapoco	Piapoco	America	Colombia	?	3	-68	1	1	Patterson et al. 2012											
HGDP00970	F	Piapoco	Piapoco	America	Colombia	?	3	-68	1	1	Patterson et al. 2012											
tic_95_10	M	Ticuna	Ticuna	America	Colombia	?	-3.8	-70	1	0	Andres Ruiz-Linares / Gabriel Bedoya											
wayu30	M	Wayuu	Wayuu	America	Colombia	?	11	-73	1	0	Andres Ruiz-Linares / Gabriel Bedoya											
cab_80_04_183	M	Cabecar	Cabecar	America	Costa Rica	?	9.5	-84	1	0	Andres Ruiz-Linares / Ramiro Barrantes											
cab_81_01_45	F	Cabecar	Cabecar	America	Costa Rica	?	9.5	-84	1	0	Andres Ruiz-Linares / Ramiro Barrantes											
rr_34_33	M	Cabecar	Cabecar	America	Costa Rica	?	9.5	-84	1	0	Andres Ruiz-Linares / Ramiro Barrantes											
rr_34_35	M	Cabecar	Cabecar	America	Costa Rica	?	9.5	-84	1	0	Andres Ruiz-Linares / Ramiro Barrantes											
rr_34_37	F	Cabecar	Cabecar	America	Costa Rica	?	9.5	-84	1	0	Andres Ruiz-Linares / Ramiro Barrantes											
rr_34_38	F	Cabecar	Cabecar	America	Costa Rica	?	9.5	-84	1	0	Andres Ruiz-Linares / Ramiro Barrantes											
gua06	M	Kaqchikel	Kaqchikel	America	Guatemala	?	15	-91	1	0	Andres Ruiz-Linares / Julio Molina											
gua27	U	Kaqchikel	Kaqchikel	America	Guatemala	?	15	-91	1	0	Andres Ruiz-Linares / Julio Molina											
gua35	U	Kaqchikel	Kaqchikel	America	Guatemala	?	15	-91	1	0	Andres Ruiz-Linares / Julio Molina											
gua40	M	Kaqchikel	Kaqchikel	America	Guatemala	?	15	-91	1	0	Andres Ruiz-Linares / Julio Molina											
gua44	U	Kaqchikel	Kaqchikel	America	Guatemala	?	15	-91	1	0	Andres Ruiz-Linares / Julio Molina											
HGDP00854	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00855	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00856	M	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00857	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00858	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00859	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00860	F	Mayan	Mayan	America	Mexico	?	19	-91	0	1	Patterson et al. 2012											
HGDP00861	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00862	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00863	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00864	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00865	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00868	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00869	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00870	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00871	F	Mayan	Mayan	America	Mexico	?	19	-91	0	1	Patterson et al. 2012											
HGDP00872	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00873	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00875	F	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
HGDP00876	F	Mayan	Mayan	America	Mexico	?	19	-91	0	1	Patterson et al. 2012											
HGDP00877	M	Mayan	Mayan	America	Mexico	?	19	-91	1	1	Patterson et al. 2012											
mixe0007	F	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0009	F	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0015	M	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0018	M	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0026	F	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0027	F	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0028	F	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0029	M	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0030	M	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
mixe0035	F	Mixe	Mixe	America	Mexico	Tmazulapan, Oaxaca	16.95	96.58	1	1	William Klitz / Cheryl Winkler											
Mixa0001	M	Mixtec	Mixtec	America	Mexico	Nochixtlan, Oaxaca	17.45	-97.22	1	1	William Klitz / Cheryl Winkler											
Mixa0002	F	Mixtec	Mixtec	America	Mexico	San Francisco Teopan, Oaxaca	17.83	-97.48	1	1	William Klitz / Cheryl Winkler											
Mixa0016	M	Mixtec	Mixtec	America	Mexico	Ojo de Agua, Oaxaca	15.95	-97.37	1	1	William Klitz / Cheryl Winkler											
Mixa0018	M	Mixtec	Mixtec	America	Mexico	Ojo de Agua, Oaxaca	15.95	-97.37	1	1	William Klitz / Cheryl Winkler											
Mixa0024	M	Mixtec	Mixtec	America	Mexico	Ojo de Agua, Oaxaca	15.95	-97.37	1	1	William Klitz / Cheryl Winkler											
Mixa0049	F	Mixtec	Mixtec	America	Mexico	Ojo de Agua, Oaxaca	15.95	-97.37	1	1	William Klitz / Cheryl Winkler											
Mixa0061	F	Mixtec	Mixtec	America	Mexico	Llano de Ayuca, Oaxaca	17.00	-97.00	1	1	William Klitz / Cheryl Winkler											
Mixa0078	M	Mixtec	Mixtec	America	Mexico	Santo Domingo, Oaxaca	18.02	-96.73	1	0	William Klitz / Cheryl Winkler											
Mixa0087	F	Mixtec	Mixtec	America	Mexico	Ojo de Agua, Oaxaca	15.95	-97.37	1	1	William Klitz / Cheryl Winkler											
Mixa0093	F	Mixtec	Mixtec	America	Mexico	San Andres Nuxino, Oaxaca	17.00	-97.00	1	1	William Klitz / Cheryl Winkler											
HGDP01037	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01041	F	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01043	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01044	F	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01047	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01050	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01051	F	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01053	F	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01055	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01056	F	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01057	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01058	F	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01059	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
HGDP01060	M	Pima	Pima	America	Mexico	?	29	-108	1	1	Patterson et al. 2012											
Zapo0046	F	Zapotec	Zapotec	America	Mexico	Santa Ana Del Valle, Oaxaca	16.98	-96.47	1	1	William Klitz / Cheryl Winkler											
Zapo0059	F	Zapotec	Zapotec	America	Mexico	Teotitlan del Valle, Oaxaca	17.02	-96.52	1	1	William Klitz / Cheryl Winkler											
Zapo0064	F	Zapotec	Zapotec	America	Mexico	Teotitlan del Valle, Oaxaca	17.02	-96.52	1	1	William Klitz / Cheryl Winkler											
Zapo0072	M	Zapotec	Zapotec	America	Mexico	Teotitlan del Valle, Oaxaca	17.02	-96.52	1	1	William Klitz / Cheryl Winkler											
Zapo0076	F	Zapotec	Zapotec	America	Mexico	Teotitlan del Valle, Oaxaca	17.02	-96.52	1	1	William Klitz / Cheryl Winkler											
Zapo0082	F	Zapotec	Zapotec	America	Mexico	Teotitlan del Valle, Oaxaca	17.02	-96.52	1	1	William Klitz / Cheryl Winkler											
Zapo0083	F	Zapotec	Zapotec	America	Mexico	Teotitlan del Valle, Oaxaca	17.02	-96.52	1	1	William Klitz / Cheryl Winkler											
Zapo0091	F	Zapotec	Zapotec	America	Mexico	San Juan Guelavia, Oaxaca	16.95	-96.53	1	1	William Klitz / Cheryl Winkler											
Zapo0095	M	Zapotec	Zapotec	America	Mexico	San Juan Guelavia, Oaxaca	16.95	-96.53	1	1	William Klitz / Cheryl Winkler											
Zapo0097	F	Zapotec	Zapotec	America	Mexico	San Juan Guelavia, Oaxaca	16.95	-96.53	1	1	William Klitz / Cheryl Winkler											
NA11197	F	Quechua_Coriell	Quechua	America	Peru	?	-13.5	-72	1	1	Coriell Cell Repositories											
NA11198	F	Quechua_Coriell	Quechua	America	Peru	?	-13.5	-72	1	1	Coriell Cell Repositories											
NA11199	F	Quechua_Coriell	Quechua	America	Peru	?	-13.5	-72	1	1	Coriell Cell Repositories											
NA11200	M	Quechua_Coriell	Quechua	America	Peru	?	-13.5	-72	1	1	Coriell Cell Repositories											
NA11201	F	Quechua_Coriell	Quechua	America	Peru	?	-13.5	-72	1	1	Coriell Cell Repositories											
AD_006	F	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_015	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_061	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_064	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_066	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_076	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_500	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_505	F	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_510	F	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_511	F	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_512	M	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
AD_523	F	AA_Denver	AA	America	USA	Denver_Colorado	39.7	-105	1	1	Rick Kittles											
HGDP01223	F	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	1	1	Patterson et al. 2012											
HGDP01224	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	0	1	Patterson et al. 2012											
HGDP01224_WGA	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	0	1	Patterson et al. 2012											
HGDP01225	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	1	1	Patterson et al. 2012											
HGDP01226	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	0	1	Patterson et al. 2012											
HGDP01227	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	1	1	Patterson et al. 2012											
HGDP01228	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	1	1	Patterson et al. 2012											
HGDP01229	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	0	1	Patterson et al. 2012											
HGDP01230	M	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	0	1	Patterson et al. 2012											
HGDP01231	F	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	1	1	Patterson et al. 2012											
HGDP01232	F	Mongola	Mongola	CentralAsiaSiberia	China	?	45	111	1	1	Patterson et al. 2012											
Bishkek28442	M	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28443	F	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28444	F	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	0	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28445	M	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28446	F	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28449	F	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28451	F	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28452	F	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28454	M	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Bishkek28456	M	Kyrgyz	Kyrgyz	CentralAsiaSiberia	Kyrgyzstan	Bishkek	42.8666666667	74.6166666667	1	1	Robert W. Mahley / Ugur Hodoglugil											
Ale20	F	Aleut	Aleut	CentralAsiaSiberia	Russia	Nikolskoye	55.18	166	1	1	Rem Sukernik / Stanislav Dryomov											
Ale22	M	Aleut	Aleut	CentralAsiaSiberia	Russia	Nikolskoye	55.18	166	1	1	Rem Sukernik / Stanislav Dryomov											
Ale33	M	Aleut	Aleut	CentralAsiaSiberia	Russia	Petropavlovsk-Kamchatski	53	158.65	1	1	Rem Sukernik / Stanislav Dryomov											
Ale34	F	Aleut	Aleut	CentralAsiaSiberia	Russia	Petropavlovsk-Kamchatski	53	158.65	1	1	Rem Sukernik / Stanislav Dryomov											
Ale35	F	Aleut	Aleut	CentralAsiaSiberia	Russia	Petropavlovsk-Kamchatski	53	158.65	1	1	Rem Sukernik / Stanislav Dryomov											
Ale36	M	Aleut	Aleut	CentralAsiaSiberia	Russia	Petropavlovsk-Kamchatski	53	158.65	1	1	Rem Sukernik / Stanislav Dryomov											
Ale37	F	Aleut	Aleut	CentralAsiaSiberia	Russia	Petropavlovsk-Kamchatski	53	158.65	1	1	Rem Sukernik / Stanislav Dryomov											
altai280p	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
altai283p	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
altai363p	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
altai380k	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
altai409k	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
altai419A	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
altai431k	M	Altaian	Altaian	CentralAsiaSiberia	Russia	?	51.9	85.95	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Olga L. Posukh											
ADR00057	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00059	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00060	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00061	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00064	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00065	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00066	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00068	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00074	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
ADR00079	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	?	69	169	1	1	Rem Sukernik / Anna Di Rienzo*											
MC_02	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	0	1	Rem Sukernik / Stanislav Dryomov											
MC_06	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_08	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_12	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	0	1	Rem Sukernik / Stanislav Dryomov											
MC_14	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_15	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_16	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_17	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_18	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	1	1	Rem Sukernik / Stanislav Dryomov											
MC_20	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Ayon	69.9	168	0	1	Rem Sukernik / Stanislav Dryomov											
MC_25	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Rytkuchi	68.9	170.7	1	1	Rem Sukernik / Stanislav Dryomov											
MC_28	F	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Yanranay	69.9	170.5	0	1	Rem Sukernik / Stanislav Dryomov											
MC_38	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Yanranay	69.9	170.5	1	1	Rem Sukernik / Stanislav Dryomov											
MC_40	M	Chukchi	Chukchi	CentralAsiaSiberia	Russia	Yanranay	69.9	170.5	1	1	Rem Sukernik / Stanislav Dryomov											
Sesk_47	M	Chukchi_Reindeer	Chukchi	CentralAsiaSiberia	Russia	Sireniki	64.4	173.9	1	1	Rem Sukernik / Stanislav Dryomov											
Sir41	M	Chukchi_Sir	Chukchi	CentralAsiaSiberia	Russia	Sireniki	64.4	173.9	1	1	Rem Sukernik / Stanislav Dryomov											
Sir50	M	Chukchi_Sir	Chukchi	CentralAsiaSiberia	Russia	Sireniki	64.4	173.9	1	1	Rem Sukernik / Stanislav Dryomov											
Dolgan1708	F	Dolgan	Dolgan	CentralAsiaSiberia	Russia	Anabarsky_ulus_in_Sakha	72.971189	115.444336	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Sardana A. Fedorova / Fedor Platonov											
Dolgan3857	F	Dolgan	Dolgan	CentralAsiaSiberia	Russia	Anabarsky_ulus_in_Sakha	72.971189	115.444336	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Sardana A. Fedorova / Fedor Platonov											
Dolgan3865	F	Dolgan	Dolgan	CentralAsiaSiberia	Russia	Anabarsky_ulus_in_Sakha	72.971189	115.444336	0	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Sardana A. Fedorova / Fedor Platonov											
Dolgan3875	F	Dolgan	Dolgan	CentralAsiaSiberia	Russia	Anabarsky_ulus_in_Sakha	72.971189	115.444336	1	1	Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu / Sardana A. Fedorova / Fedor Platonov											
Esk20	M	Eskimo_Chaplin	Eskimo	CentralAsiaSiberia	Russia	New Chaplino	64.48	172.86	1	1	Rem Sukernik / Stanislav Dryomov											
Esk22	M	Eskimo_Chaplin	Eskimo	CentralAsiaSiberia	Russia	New Chaplino	64.48	172.86	1	1	Rem Sukernik / Stanislav Dryomov											
Esk29	M	Eskimo_Chaplin	Eskimo	CentralAsiaSiberia	Russia	New Chaplino	64.48	172.86	1	1	Rem Sukernik / Stanislav Dryomov											
Esk37	F	Eskimo_Chaplin	Eskimo	CentralAsiaSiberia	Russia	New Chaplino	64.48	172.86	0	1	Rem Sukernik / Stanislav Dryomov											
Esk38	F	Eskimo_Chaplin	Eskimo	CentralAsiaSiberia	Russia	New Chaplino	64.48	172.86	1	1	Rem Sukernik / Stanislav Dryomov											
